;;Name (click to view profile);Date;Likes;Comment;(view source)
;283-1;Truman Burbank;22.08.19 09:53:04;0;That movie comes out when I turn 16!!! If Deadpool is in it, oh boy what a birthday;view comment
284;;Jarod Farrant;22.08.19 09:53:04;0;Deadpool is the one who got me interested in serious comic hook reading and I thank him for that.;view comment
285;;Kat Ellis;22.08.19 09:53:04;0;Both films were my favourite;view comment
286;;Lean On Remy;22.08.19 09:53:04;3;for the 3rd installment they should do something like a post credit scene where cable helps deadpool get his wife back like they did for cable in the second movie that would be amazing;view comment
287;;Lean On Remy;22.08.19 09:53:04;1;i can’t wait for a 3rd installation though to see how there life turned out together and everything;view comment
288;;Lean On Remy;22.08.19 09:53:04;0;okay ever kind i. stupid i just never saw the post credit seen;view comment
289;;Mattieu is So ugly;22.08.19 09:53:04;0;Godzilla Vs Dedpool;view comment
290;;Mysterious Mr OCD;22.08.19 09:53:04;3;Deadpool 2 was far better than the original. I still like the first movie but I can’t help feel it’s already aged a bit since a lot of it seemed like the writers, etc seeing just what they could get away with. This movie on the other hand hit the sweet spot and was the funniest movie of 2018 imo.;view comment
;290-1;b a;22.08.19 09:53:04;1;Agree it's best sadly Disney is going to turning into friendly normal violence  PG13 less bloodly violent than R-rated;view comment
291;;NerosNightmare;22.08.19 09:53:04;13;0:09  Me when I leave work to watch Deadpool 2;view comment
;291-1;Trishawn Blake;22.08.19 09:53:04;1;????same;view comment
;291-2;Rohit;22.08.19 09:53:04;0;????;view comment
292;;Niraj Mandhare;22.08.19 09:53:04;0;R.I.P STAN LEE?;view comment
293;;Panbot Bot;22.08.19 09:53:04;0;aminqdvjxq;view comment
294;;Panbot Bot;22.08.19 09:53:04;0;bpellzpwgk;view comment
295;;Panbot Bot;22.08.19 09:53:04;0;bvpcayzpie;view comment
296;;Panbot Bot;22.08.19 09:53:04;0;bwglmiunud;view comment
297;;Panbot Bot;22.08.19 09:53:04;0;chengfhqty;view comment
298;;Panbot Bot;22.08.19 09:53:04;0;dkgihvekby;view comment
299;;Panbot Bot;22.08.19 09:53:04;0;dvniridojq;view comment
300;;Panbot Bot;22.08.19 09:53:04;0;efwlqoporn;view comment
301;;Panbot Bot;22.08.19 09:53:04;0;hziwmdglgn;view comment
302;;Panbot Bot;22.08.19 09:53:04;0;iaxmzizqhk;view comment
303;;Panbot Bot;22.08.19 09:53:04;0;iyncaqhcoh;view comment
304;;Panbot Bot;22.08.19 09:53:04;0;jhbkojuvjc;view comment
305;;Panbot Bot;22.08.19 09:53:04;0;kvjbwcchko;view comment
306;;Panbot Bot;22.08.19 09:53:04;0;lccnfdhuzl;view comment
307;;Panbot Bot;22.08.19 09:53:04;0;lkblaquigg;view comment
308;;Panbot Bot;22.08.19 09:53:04;0;nkukmniqcw;view comment
309;;Panbot Bot;22.08.19 09:53:04;0;nlolixjzvr;view comment
310;;Panbot Bot;22.08.19 09:53:04;0;omikjalnqt;view comment
311;;Panbot Bot;22.08.19 09:53:04;0;rhoqdetmop;view comment
312;;Panbot Bot;22.08.19 09:53:04;0;sggsiuvwoc;view comment
313;;Panbot Bot;22.08.19 09:53:04;0;wlifazqvwg;view comment
314;;Panbot Bot;22.08.19 09:53:04;0;wwahanrfek;view comment
315;;Panbot Bot;22.08.19 09:53:04;0;yuxtroagdh;view comment
316;;Panbot Bot;22.08.19 09:53:04;0;zfaacrewac;view comment
317;;Rhiannn :3;22.08.19 09:53:04;0;is that the new zealand drug driving kid???????? OMG YES;view comment
318;;Tony Montana;22.08.19 09:53:04;0;I absolutely loved the fact that they made a very big deal out of the X-Force and then killed all of them in 5 minutes :D;view comment
319;;Yash Singh;22.08.19 09:53:04;91;What if Deadpool is Noobmaster69?;view comment
;319-1;Big Mac;22.10.19 09:53:04;2;Plot Twist. May be possible tho. The X-Men are inside the MCU (technically);view comment
320;;cayhec;22.08.19 09:53:04;0;ao know men;view comment
321;;AKSHAY YADAV;22.09.19 09:53:04;0;Some body in 2019;view comment
322;;Aka sh;22.09.19 09:53:04;1;I am wait for Deadpool 3 release;view comment
323;;Alfredo Zanca;22.09.19 09:53:04;0;ne ho visti di film ma questo è in assoluto il peggiore, pieno di gratuita violenza e di stupidissime battute ben oltrepassando il ridicolo. Ho sperato che si riprendesse un pò ma non ce l'ho fatta, ho dovuto smettere di vederlo. Santa maria com'è caduta in basso la Marvel!;view comment
324;;Cameron Dawson;22.09.19 09:53:04;0;Who read the video caption ??;view comment
325;;Christian Santiago;22.09.19 09:53:04;0;X-Force?;view comment
326;;Deepak kumar;22.09.19 09:53:04;3;Deadpool is copied from slade;view comment
327;;Kino Spencer;22.09.19 09:53:04;0;Some what can’t remember if I watched this movie;view comment
328;;MrMemeBean;22.09.19 09:53:04;2;Kevin Feige better not recast Deadpool;view comment
329;;NursesareAngels MJ;22.09.19 09:53:04;1;Godzilla trailer theme;view comment
330;;Panbot Bot;22.09.19 09:53:04;0;aqoyoaamib;view comment
331;;Panbot Bot;22.09.19 09:53:04;0;bnhtqrazjp;view comment
332;;Panbot Bot;22.09.19 09:53:04;0;bowjoqpiqr;view comment
333;;Panbot Bot;22.09.19 09:53:04;0;bpkvitdebf;view comment
334;;Panbot Bot;22.09.19 09:53:04;0;dgrmwuydtc;view comment
335;;Panbot Bot;22.09.19 09:53:04;0;efmfamyukw;view comment
336;;Panbot Bot;22.09.19 09:53:04;1;ejsrbsosdt;view comment
337;;Panbot Bot;22.09.19 09:53:04;0;fhjogstmjq;view comment
338;;Panbot Bot;22.09.19 09:53:04;0;hbzvtjtsab;view comment
339;;Panbot Bot;22.09.19 09:53:04;0;hjwoaabjvo;view comment
;339-1;Chris Corley;22.10.19 09:53:04;0;G glad to Go home lll;view comment
340;;Panbot Bot;22.09.19 09:53:04;0;hmuzedywvl;view comment
;340-1;Chris Corley;22.10.19 09:53:04;0;F and feel l;view comment
341;;Panbot Bot;22.09.19 09:53:04;0;homztauebm;view comment
342;;Panbot Bot;22.09.19 09:53:04;1;hxsflhxpuu;view comment
343;;Panbot Bot;22.09.19 09:53:04;0;hymwwarsxd;view comment
344;;Panbot Bot;22.09.19 09:53:04;0;idyooxvpxu;view comment
345;;Panbot Bot;22.09.19 09:53:04;0;kpnnydskva;view comment
346;;Panbot Bot;22.09.19 09:53:04;0;mqwstfcfal;view comment
347;;Panbot Bot;22.09.19 09:53:04;0;nnqjlddixm;view comment
348;;Panbot Bot;22.09.19 09:53:04;0;oxfswezqwl;view comment
349;;Panbot Bot;22.09.19 09:53:04;0;qebzwlvauh;view comment
350;;Panbot Bot;22.09.19 09:53:04;0;qpyhrzicda;view comment
351;;Panbot Bot;22.09.19 09:53:04;0;svoqjnpmsr;view comment
;351-1;Chris Corley;22.10.19 09:53:04;0;??? My to cmh;view comment
352;;Panbot Bot;22.09.19 09:53:04;0;teenjtbinh;view comment
353;;Panbot Bot;22.09.19 09:53:04;0;tpffjtgool;view comment
354;;Panbot Bot;22.09.19 09:53:04;1;uxyghecsog;view comment
355;;Panbot Bot;22.09.19 09:53:04;0;yyaywucrio;view comment
356;;Panbot Bot;22.09.19 09:53:04;0;zxnaoauuaf;view comment
357;;Patrick Schulz;22.09.19 09:53:04;2;"God, I wish I finished college"  -me everyday I wake up before work;view comment
;357-1;iare19;22.09.19 09:53:04;0;So you think you wouldnt have to work after finishing college? ?;view comment
;357-2;Patrick Schulz;22.09.19 09:53:04;0;@iare19  Might have been living in a Bernie Sanders world;view comment
358;;Rabia Qaiser;22.09.19 09:53:04;6;Wasnt that bill skarsgård at  1:40  behind domino;view comment
;358-1;Isaac Bruner;22.10.19 09:53:04;0;Yeah;view comment
;358-2;Cheyenne Sawyer;01.11.19 09:53:04;1;Bill Skarsgard ???;view comment
359;;SENPAI SHUBHAM;22.09.19 09:53:04;1;God I hope Disney will keep it R-Rated or rather I am done with MCU;view comment
360;;bluepanda_lol;22.09.19 09:53:04;0;It's the return of Deadpool wallbreaker;view comment
361;;just random;22.09.19 09:53:04;0;This comment is young;view comment
362;;mia not khalifa;22.09.19 09:53:04;9;"Kiss me like you miss me" a whole mood;view comment
363;;samad;22.09.19 09:53:04;2;whats gonna happen now that disney owns deadpool?;view comment
364;;DYLAN Playz;22.10.19 09:53:04;0;1:46  whats the name of the song? Pls?;view comment
365;;Death Bunny;22.10.19 09:53:04;1;I keep on rewatching this trailer;view comment
366;;Juli Al;22.10.19 09:53:04;0;good trailer;view comment
367;;MadCat;22.10.19 09:53:04;0;After movie everyone wants a lucky power;view comment
368;;Muhammad Kamran;22.10.19 09:53:04;0;Wait...a..second is that Tony stark  1:59;view comment
369;;Noah Cens;22.10.19 09:53:04;0;muffin time;view comment
370;;Panbot Bot;22.10.19 09:53:04;0;aonlhnnzib;view comment
371;;Panbot Bot;22.10.19 09:53:04;0;axxhhtsbgy;view comment
372;;Panbot Bot;22.10.19 09:53:04;0;blnbcmzrja;view comment
373;;Panbot Bot;22.10.19 09:53:04;0;dhessmbmhr;view comment
374;;Panbot Bot;22.10.19 09:53:04;0;djmurcxjyu;view comment
375;;Panbot Bot;22.10.19 09:53:04;0;etbopebgwp;view comment
;375-1;Chris Corley;22.10.19 09:53:04;0;Gggggghghhhhhheezzzzxecam33;view comment
376;;Panbot Bot;22.10.19 09:53:04;0;ezyipirhjt;view comment
377;;Panbot Bot;22.10.19 09:53:04;0;fsvgivzmsc;view comment
378;;Panbot Bot;22.10.19 09:53:04;0;gkqvwaibke;view comment
;378-1;Chris Corley;22.10.19 09:53:04;0;gkqvwaibke fudge nuckles.;view comment
379;;Panbot Bot;22.10.19 09:53:04;0;gnllafvhyv;view comment
380;;Panbot Bot;22.10.19 09:53:04;0;iacfozhctu;view comment
381;;Panbot Bot;22.10.19 09:53:04;0;ighovmrzcm;view comment
382;;Panbot Bot;22.10.19 09:53:04;0;igodpjmfcg;view comment
383;;Panbot Bot;22.10.19 09:53:04;0;ipvpqbppla;view comment
384;;Panbot Bot;22.10.19 09:53:04;0;ivnleffryg;view comment
385;;Panbot Bot;22.10.19 09:53:04;0;kkjfrmfikf;view comment
386;;Panbot Bot;22.10.19 09:53:04;0;mmdgthbugz;view comment
387;;Panbot Bot;22.10.19 09:53:04;0;mshlloxcty;view comment
388;;Panbot Bot;22.10.19 09:53:04;0;mwzcwgchha;view comment
389;;Panbot Bot;22.10.19 09:53:04;0;nnlfspaekt;view comment
390;;Panbot Bot;22.10.19 09:53:04;0;pfsctflkbi;view comment
;390-1;Chris Corley;22.10.19 09:53:04;0;)_()5+()& do yo Lee do n c;view comment
391;;Panbot Bot;22.10.19 09:53:04;0;qupynprdij;view comment
392;;Panbot Bot;22.10.19 09:53:04;0;rewrnqjbmg;view comment
;392-1;Chris Corley;22.10.19 09:53:04;0;Zzzzxxxxxxxxxdddahgwlu those;view comment
393;;Panbot Bot;22.10.19 09:53:04;0;rezikwangn;view comment
394;;Panbot Bot;22.10.19 09:53:04;0;sylihdukyy;view comment
395;;Panbot Bot;22.10.19 09:53:04;0;tugqnvplyu;view comment
396;;Panbot Bot;22.10.19 09:53:04;0;uhsnuazbmc;view comment
397;;Panbot Bot;22.10.19 09:53:04;0;uvrqwdivip;view comment
398;;Panbot Bot;22.10.19 09:53:04;0;vawxfihrid;view comment
399;;Panbot Bot;22.10.19 09:53:04;0;wemboiyccp;view comment
400;;Panbot Bot;22.10.19 09:53:04;0;wpyfigarrc;view comment
401;;Panbot Bot;22.10.19 09:53:04;0;yegizffsyo;view comment
402;;Panbot Bot;22.10.19 09:53:04;0;zmlfcooyds;view comment
;402-1;Chris Corley;22.10.19 09:53:04;0;MakesdayAngie look at the goat;view comment
403;;Sonic Ranger;22.10.19 09:53:04;0;0:10  START THE CAR!!!;view comment
404;;URANG GUTAN JR.;22.10.19 09:53:04;0;Where is "The Spawn" belong to?;view comment
405;;rafan 236;22.10.19 09:53:04;0;The 16k dislikes are dc fans;view comment
406;;Panbot Bot;25.10.19 09:53:04;0;idjudgkgdf;view comment
407;;Panbot Bot;25.10.19 09:53:04;0;kdayczrozw;view comment
408;;Panbot Bot;25.10.19 09:53:04;0;wsofggpegs;view comment
409;;Panbot Bot;01.11.19 09:53:04;0;anwutugqug;view comment
410;;Panbot Bot;01.11.19 09:53:04;0;btjejptlso;view comment
411;;Panbot Bot;01.11.19 09:53:04;0;eygifeozlo;view comment
412;;Panbot Bot;01.11.19 09:53:04;0;fohluceuhl;view comment
413;;Panbot Bot;01.11.19 09:53:04;0;hhzsfozzky;view comment
414;;Panbot Bot;01.11.19 09:53:04;0;jaurnyeuht;view comment
415;;Panbot Bot;01.11.19 09:53:04;0;qlzujfzcan;view comment
416;;Panbot Bot;01.11.19 09:53:04;0;zuuseoeubj;view comment
417;;TOMMYSALAMI 2222;01.11.19 09:53:04;0;Nope;view comment
418;;pennywise dancing clown;01.11.19 09:53:04;0;God i wished i finished college;view comment
419;;Panbot Bot;08.11.19 09:53:04;0;ejmcdtjrlt;view comment
420;;Panbot Bot;08.11.19 09:53:04;0;gmqjniynyl;view comment
421;;Panbot Bot;08.11.19 09:53:04;0;hthaxncjoh;view comment
422;;Panbot Bot;08.11.19 09:53:04;0;kyyaukozpo;view comment
423;;Panbot Bot;08.11.19 09:53:04;0;mufleytufr;view comment
424;;Panbot Bot;08.11.19 09:53:04;0;ugvgbszuky;view comment
425;;Panbot Bot;08.11.19 09:53:04;0;wdotjyhsuk;view comment
426;;Panbot Bot;08.11.19 09:53:04;0;yoakhpoufy;view comment
427;;Panbot Bot;08.11.19 09:53:04;0;zybmjhcgoc;view comment
428;;ED;15.11.19 09:53:04;0;Cable? No thanks!  Dish Network please!;view comment
429;;Panbot Bot;15.11.19 09:53:04;0;ewiuadvpkt;view comment
430;;Panbot Bot;15.11.19 09:53:04;0;ezhfgvsjtm;view comment
431;;Panbot Bot;15.11.19 09:53:04;0;fnngvisjlk;view comment
432;;Panbot Bot;15.11.19 09:53:04;0;fteriupdzb;view comment
433;;Panbot Bot;15.11.19 09:53:04;0;ghavicjdtb;view comment
434;;Panbot Bot;15.11.19 09:53:04;0;gwwiokoicx;view comment
435;;Panbot Bot;15.11.19 09:53:04;0;mdadcizfgg;view comment
436;;Panbot Bot;15.11.19 09:53:04;0;mmmennmioe;view comment
437;;Panbot Bot;15.11.19 09:53:04;0;pwqyxtlnit;view comment
438;;Panbot Bot;15.11.19 09:53:04;0;sawxnssikm;view comment
439;;Panbot Bot;15.11.19 09:53:04;0;sudvqnvdch;view comment
440;;Panbot Bot;15.11.19 09:53:04;0;wbipomluua;view comment
441;;Roger Herrera;15.11.19 09:53:04;1;Olaaaaa@aaaaaa@aaaaaaaaaaaaaa comooooooooooooooooooo estaaaaaaaaaannnnnnnnnnnnnnnnnnnn;view comment
442;;Panbot Bot;16.11.19 09:53:04;0;dgbkirsbcx;view comment
443;;Panbot Bot;17.11.19 09:53:04;0;kjkovzcned;view comment
444;;IAA Productions;18.11.19 09:53:04;0;I swear the grave scene never happened;view comment
445;;Panbot Bot;19.11.19 09:53:04;0;duuckaberv;view comment
446;;Panbot Bot;19.11.19 09:53:04;0;lluypdhndm;view comment
447;;Panbot Bot;19.11.19 09:53:04;0;qtqwbylifh;view comment
448;;Panbot Bot;20.11.19 09:53:04;0;nrsmetpdnc;view comment
449;;Panbot Bot;20.11.19 09:53:04;0;unzyipahpi;view comment
450;;Adrian Zubcic;21.11.19 09:53:04;0;I love deadpool;view comment
451;;Panbot Bot;21.11.19 09:53:04;0;atusemdiog;view comment
452;;Panbot Bot;21.11.19 09:53:04;0;cpjczurler;view comment
453;;Panbot Bot;21.11.19 09:53:04;0;nnntauwvqe;view comment
454;;Panbot Bot;21.11.19 17:53:04;0;kqjylbpxil;view comment
