Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
23;;? ?;28.02.19 12:09:48;0;Bangkok and Shanghai much ?;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyErjQOknTwG_IiZFF4AaABAg
24;;? ?;28.02.19 12:09:48;0;Kuala Lumpur is a richkid hotspot;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwiWnf22I64ZW6VFul4AaABAg
25;;- Simplicity;28.03.19 12:09:48;8;I dont know if I could marry that guy after how petty and rude those ppl were. I wouldnt wanna deal with toxicity and passive aggression till I died.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzVftOIxgFIZe59SR94AaABAg
;25-1;????? ????;28.03.19 12:09:48;1;Depends, you're in for a guy or his family and fame...;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzVftOIxgFIZe59SR94AaABAg
;25-2;- Simplicity;28.03.19 12:09:48;0;@????? ????   Definitely for the guy, if I dont get along with his fam we may as well part ways.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzVftOIxgFIZe59SR94AaABAg
;25-3;????? ????;28.03.19 12:09:48;0;@- Simplicity  because of his family, you will leave him even if he's good to you?;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzVftOIxgFIZe59SR94AaABAg
;25-4;- Simplicity;28.03.19 12:09:48;0;@????? ????  Family has a big impact, it can ruin even the best relationships. Ive seen it;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzVftOIxgFIZe59SR94AaABAg
26;;Aboli Zirpe;28.03.19 12:09:48;1;"India is also an Asian country but ppl think as only China Korea Filipinos Singapore japan Indonesia like someone said in the comments. Tbh even if ppl think abou India it’s of no use cause if I talk about crazy then it’d be only the ambanis! The ambanis r the richest ppl in the asia";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzABR27x_B6a9PZY5V4AaABAg
27;;Alexandra Z;28.03.19 12:09:48;0;So she's been dating him for a year and doesn't know that he is crazy rich? She has never Googled him or his family? Come on... And she looks like she's always dressed in expensive clothes even in the coffee shop scene, so the plot is not very believable.  Also, it is very rare irl for very rich people to date poor people, no matter what everyone says. Usually the rich ones are not only stuck up, but they roam around other rich people.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwyEbMoFbDPIGlYbDR4AaABAg
28;;Angelo Fernandez;28.03.19 12:09:48;7;Im asian and I need to see this movie;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzPoB1d4AXiCbc0RRN4AaABAg
;28-1;Pod;28.11.88 15:56:45;1;are u sure ur asian?  ur ears are more elephant!  lolz;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzPoB1d4AXiCbc0RRN4AaABAg
;28-2;rangga mpp;28.06.19 12:09:48;0;lol i'm done ??????;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzPoB1d4AXiCbc0RRN4AaABAg
29;;Anishar 17;28.03.19 12:09:48;0;This movie wins an award, it has everything a movie needs and more. This will be the 2nd movie that made me cry, from the best friends wedding to when the girls mum came to see her daughter from (01.20.00 until the end). This movie is similar to may life, its like the writer wrote it just for me haha. This made me love it even more and I would love if the director (Jon M. Chu) and writer (Kevin Kwan) wrote more movies similar to THIS ONE. ???? best movie in 2018. Was worth the wait!!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugy7bnxGP7KcetJ1XWd4AaABAg
30;;Apoorva Chandra;28.03.19 12:09:48;7;Someone please make a movie on our Ambani family.. They're crazy rich asians too;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugw2pY-EF0kDceRoG9F4AaABAg
;30-1;BlackRed CE;28.03.19 12:09:48;1;Y so butifel i want to frk u;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugw2pY-EF0kDceRoG9F4AaABAg
31;;Avani Mishra;28.03.19 12:09:48;0;Not really Asian representation but go off.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugw653tR7ey8fqLoC8V4AaABAg
32;;Bake Instantly;28.03.19 12:09:48;0;Wonder what Awkwafina is doing now? She's baking Boujee Gucci Cupcakes ??  https://youtu.be/Xh4h-lMGV90;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzKG7Yl6eauYz65KKR4AaABAg
33;;Blueberry 585;28.03.19 12:09:48;0;Bok Bok Bit #h;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxZ7j9VZLyE6qf4Akp4AaABAg
34;;Bouldy;28.03.19 12:09:48;1;Ya boy flexin with a dolla bill;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugw7Vt-Hq93MogDMrjd4AaABAg
35;;Candice;28.03.19 12:09:48;0;I know the girl is young and unknowing but the way she speaks to his mother is sheer disrespect as if the mother is some causal woman lol;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgznAflr1z3yCXmbxPF4AaABAg
36;;Connor RK505;28.03.19 12:09:48;0;I'm a crazy lazy asian;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyCIcNpJNEl1Tnzf-x4AaABAg
37;;Crystal Jae;28.03.19 12:09:48;1;yellow on the outside white on the inside...;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugz9Wpc-np_44XIPTJV4AaABAg
38;;Eliana Intile;28.03.19 12:09:48;3;I really really love this movie!! Specially the wedding scene... Hope they´re made more movies;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwOff31HdzUgDngujt4AaABAg
39;;Elphiba music;28.03.19 12:09:48;0;WOWOOWOWO BEST MOVEI EVERRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugx71iX2W-yNWJIXngR4AaABAg
40;;Froggy Noddy;28.03.19 12:09:48;1;this movie is made for that Asian girl hoping and praying she'll marry rich and live a life happily ever after. most crazy Asians are middle class trying to make ends meet.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxV0TSNwfOq8n-JQmx4AaABAg
41;;Fukin SG Invain;28.03.19 12:09:48;0;"MOTHER N SON ARE TOTALLY DIFFERENT GENETIC... NOT REALLY RICH COZ I NEVER SEE RICH PEOPLE TOOK CAB TO AIRPORT, BUT REALLY CRAZY ASIAN... OR PERHAPS THE SON WAS ADOPTED OR ""UNWANTED"" CHILD HAHHAHAAHAHA";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxyJA2NcPSY-acaxmZ4AaABAg
42;;Fukin SG Invain;28.03.19 12:09:48;0;SINGAPOOR??? FACT IS ONLY PAP@ LEE AND HIS FAMILEES' AND CRONIES AND MONEY LAUNDERING TYCOONS THOSE WHO ARE RICH, THE REST IS SINGAPOOR, SO POOR AND SENSITIVE. EVEN EARNING 5K PER MONTH FOR FT, ALREADY IRS CAME TO YOU AND INVESTIGATE YOUR BACKGROUND, LEST YOU GIVE THEM MONEY THEN DIFFERENT STORY. MONEY IS SINGAPOOR'S GOD;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyxZZSoOXirD8TQhH94AaABAg
43;;Gabtube252;28.03.19 12:09:48;3036;Can't wait for the more relatable sequel: MENTALLY ORDINARY MIDDLE CLASS ASIANS;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-1;sumit singh;28.08.19 12:09:48;2;Damn??;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-2;15 Xoxo;28.08.19 12:09:48;1;Gabtube252 lol in the 2nd book Rachel is actually richer than Nick.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-3;Blah Blah;28.08.19 12:09:48;0;?????????? Yes;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-4;Blah Blah;28.08.19 12:09:48;2;Mentally Ordinary Middle Class Asians who are not necessarily only Japanese, korean or Chinese.??;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-5;S B.;28.09.19 12:09:48;0;Its american movie hun, with actors of asian backgrounds;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-6;Rosxu e;28.10.19 12:09:48;0;Watch fresh off the boat you will love it (its on prime);https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-7;Andrew Toombs;07.11.19 12:09:48;0;Phlunk yourself 40degrees in bones and wake up from that injury ... bet you will remember this text message sincerely;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-8;The future is Unity;07.11.19 12:09:48;0;Exactly, that's why the movie tanked in Asia. They should have name it Crazy Rich American Asian instead. Their accent, culture and way of life are nothing like Asia Asians. I'm saying this as a Singaporean.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-9;Iqozul Himam;28.03.19 12:09:48;41;There are 3 books.. the second one is China Rich Girlfriend;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-10;Alexander Faust;28.11.88 15:56:45;5;Great comment!  DEAD ON.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-11;Solo Bano;28.11.88 15:56:45;7;Hahaha, totally stupid movie, really idiotic;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-12;animation freak;28.05.19 12:09:48;3;Hahahahaha i would love to watch this movie ??;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-13;Moon;28.05.19 12:09:48;2;MEEE;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-14;Sunil Bose;28.05.19 12:09:48;2;Perfect comment;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-15;Ankit Kumar;28.05.19 12:09:48;1;@Iqozul Himam  Can you tell me how many books are there for this sequel?;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-16;Iqozul Himam;28.05.19 12:09:48;8;@Ankit Kumar  Crazy Rich Asians, China Rich Girlfriend, and Rich People Problem;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-17;Josh;28.05.19 12:09:48;2;See off the boat;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
;43-18;Annxyzm;28.06.19 12:09:48;2;@Iqozul Himam  but i think it's allready combined together. Maybe/? LETS PRAG FOR SEQUEL;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgyILHL5Uy9C7L4drHh4AaABAg
44;;Im Roo;28.03.19 12:09:48;0;Go Asia;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgwkNeI9qnneFhHJ7OZ4AaABAg
45;;Jella Canen;28.03.19 12:09:48;0;Recommend movies pleaseee;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=Ugw5WtfujFUUatv02nB4AaABAg
46;;Lolatana;28.03.19 12:09:48;10;"I am a crazy  rich  Asian.... In my dreams. ¬.¬";https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzmdYq_zd2tuhf6SXB4AaABAg
47;;Lone Blade;28.03.19 12:09:48;0;I am rich, tall and handsome.;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgxocclZPW7trYCdzEN4AaABAg
48;;Luis Felipe Orozco;28.03.19 12:09:48;2;Dammit, I STILL haven't seen this movie!!!!;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzE_POURzTcAM0kuIt4AaABAg
;48-1;Skrimze;28.03.19 12:09:48;0;It's amazing,  u should watch it;https://www.youtube.com/watch?v=ZQ-YX-5bAs0&lc=UgzE_POURzTcAM0kuIt4AaABAg
