Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
43;;vickytxriana;29.03.18 16:38:23;0;@skarerika ????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17844093301254502
44;;zahraa_rahmanii;29.03.18 16:40:34;0;Cant wait??????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17908913755137312
45;;monster.girl.piper;29.03.18 16:41:00;0;YESSS???????????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17904237265164741
46;;c_rodriguez_1998;29.03.18 16:47:23;0;I’M SO PSYCHED!! I CAN HARDLY WAIT ANYMORE!! ??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934444880004154
47;;isabellamhampton;29.03.18 16:48:35;1;They do look like they’ve aged a little bit  maybe part of jack jack’s power is to be a baby who knows @laursanta;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17859418054240436
48;;hugo.nilssson;29.03.18 16:51:59;0;WOHOOOOO;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17844093016251089
49;;elyse.dg;29.03.18 16:52:25;0;@brennen.vg;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17907744325180995
50;;brennen_vg;29.03.18 16:53:14;0;@elyse.dg why am I getting a Daddy Daycare vibe;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17905887793182757
51;;balsamofruttato;29.03.18 16:54:04;4;I love Violet ??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17908083544130618
52;;brennen_vg;29.03.18 16:54:32;0;@elyse.dg (in regards to this movie I mean);https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17933934364005143
53;;bastienlebsir;29.03.18 16:55:32;1;@mathys_guibert ??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17933833396063243
54;;ell_lee123;29.03.18 16:57:07;1;@skellyj;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17915830975084397
55;;jaavajen;29.03.18 17:04:49;0;Can not wait!!!!! @petermontesjr;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17874599698204558
56;;jollyycfwmnm;29.03.18 17:07:32;0;@fili_arts SAME SHE WAS MY FAVOURITE;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17873973574210282
57;;malcolm961_mx;29.03.18 17:10:03;0;@kncked_off man I always felt like they should make a part 2 to this movie especially after it ended made it seem like there was going to be  a 2nd one so excited it came to reality;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17906071672158460
58;;balsamofruttato;29.03.18 17:12:43;0;@ycfmnm65 Just I saw her, a light turned on in my eyes??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17861905786230570
59;;aythebike;29.03.18 17:13:09;0;??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17910379432186588
60;;erik_jms;29.03.18 17:22:17;1;@21.dariana;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934235036045709
61;;barcodeheart;29.03.18 17:23:42;0;bruhhh i can’t wait !;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17909207977134027
62;;sennasnel;29.03.18 17:24:05;1;@svenbonte;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17903962585167640
63;;iamlikethat;29.03.18 17:24:39;0;@mannymics  questo non lo hai visto;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17875526818201585
64;;eugenievishek;29.03.18 17:28:16;0;@_ashleyporter;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934519355029061
65;;marygrace_cole;29.03.18 17:32:55;1;@evarose_cole I KNOWWWWW;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17916721441087854
66;;joecastro666;29.03.18 17:33:45;0;Release the Jakks Pacific toys, LEGO sets and the game before ??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17903885038161970
67;;jeaniegez;29.03.18 17:37:02;0;Yasssss????????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17843316298259975
68;;rainer.reim;29.03.18 17:37:55;0;@luisatronic;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17844106915251420
69;;jorgearmando113;29.03.18 17:44:28;1;!!OMG!!;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17934488410063940
70;;artejonas;29.03.18 17:45:08;0;He;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17905017964152067
71;;darianat_02;29.03.18 17:45:18;1;@erik_jms siiii??;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17873694493213592
72;;artejonas;29.03.18 17:45:23;0;Que bien;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17861214250238470
73;;micahfattahi;29.03.18 17:46:31;0;??????;https://www.instagram.com/p/Bg6av3qHqjf/?comment_id=17915983540090281
