Id;SubId;Name (click to view profile);Date;Likes;Comment;Link
42;;jpeezius;06.10.18 13:23:44;7;This feels a little light hearted given who they were, what they did, and the current state of our executive branch.;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17957719501148580
43;;707jesse;06.10.18 13:31:33;1;@i_heart_juliet;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17894507686259869
44;;hairbylizkim;06.10.18 13:40:04;1;@mkhrrs89;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17924300869217168
45;;fraymonddd;06.10.18 13:43:41;5;@beaucoup_meat the current state of our executive branch is looking great based on just about every measurement, literally the best state it's been in in the 21st century but things like foreign relations and how the economy are doing apparently don't matter to liberals, it's all about how they act in the media right? ?? what a joke, do you even live in America or are you just stuck in your own head all day? ??;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17945694748197394
46;;ghoosey_a;06.10.18 13:44:58;1;@sirluciousthegreat ????????????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17971231405118016
47;;thadkellstadt;06.10.18 13:53:48;0;"@mind__surfer I sort of get what you are trying to do and how you are trying to be funny, but it is nothing more than ""I know you are but what am I?"" Kind of like the ""impeach Obama"" stickers. People hear ""impeach Trump"" and they automatically reverse it not really knowing what it means only that it is negative.";https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17986090678061174
48;;ujeany;06.10.18 13:55:39;0;@nazifast I would go see this;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964539527092938
49;;livhope93;06.10.18 14:05:27;1;@allidoiswayne;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17957716648183467
50;;isabellamrodri;06.10.18 14:06:18;0;@victoriarodri OMGGG yes;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17986502698025575
51;;i_heart_juliet;06.10.18 14:07:29;0;@707jesse I can't wait to see this!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17879292352276861
52;;kflan66;06.10.18 14:11:10;0;@spflanne;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964703777094957
53;;somebody.elsewhere;06.10.18 14:11:52;1;@dfrancis19 the legend is in this MS;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964599770089293
54;;n00dletown;06.10.18 14:26:36;1;@rainacumby;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17967763909124249
55;;robinsnestbakery;06.10.18 14:39:05;0;@scott_robot I saw this preview yesterday.  A lot of good movies for the holidays;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17912687443231883
56;;vinnyferrigine;06.10.18 14:46:04;2;If this is true story at they gonna show bush did 9/11;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964155467088004
57;;cjwalsh1911;06.10.18 14:51:48;0;@beaucoup_meat winning a problem for you?;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17914507243225509
58;;cjwalsh1911;06.10.18 14:52:17;0;@beaucoup_meat a nation needs laws and borders, regardless of tears;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964148423090624
59;;peterdarkerflow;06.10.18 14:55:38;2;Y’all glorify y’all psychos and demonize our saviors !;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17855577823294481
60;;taylor_lynn21a;06.10.18 15:00:48;1;@blakelyfts;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17971245139114333
61;;peterdarkerflow;06.10.18 15:04:26;0;@tre_g_ no im speaking of black revolutionaries like Malcom x and Huey Newton;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17923228612222887
62;;andrewbasta4;06.10.18 15:05:07;0;@danielsiha that looks fireeeeeee;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17943613954199590
63;;danielsiha;06.10.18 15:05:39;1;@andrewbasta4 DanGGG!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17970005896114638
64;;jefehunnidz;06.10.18 15:23:04;0;Why the bush ain’t in prison right now;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17968045669127634
65;;w_o_l_f25i;06.10.18 15:41:58;1;@raldawg55 Lol how that was taken into prospective is uncanny;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964631756084407
66;;andrewbasta4;06.10.18 15:44:29;0;@danielsiha hahahahaha hahahahaha;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17925765094202314
67;;annettedhernandez;06.10.18 15:51:48;0;????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17878920091277280
68;;annettedhernandez;06.10.18 15:52:34;0;@vinnyferrigine ummm they're all comedians....;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17913019636239244
69;;viotechh;06.10.18 15:53:18;0;@g.calvert.music no worries Trump movies will be made till the end of time;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17945606536199232
70;;annettedhernandez;06.10.18 15:53:31;0;People lighten up...these are all comedians. Its a comedy, chezzzz;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17987072845029003
71;;viotechh;06.10.18 15:55:13;0;@jperkinz still have no clue why bill is so revered. Actually I take that back, I do. He was a smooth talker...his policies? Smh.;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17964690481084689
72;;justinhorow;06.10.18 15:58:59;3;This movie is for snowflakes. They think they’re smarter than everyone else. ??;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17986734664046063
73;;savethesouthland;06.10.18 16:05:52;2;wanna know what changed history forever? when the English came to America and killed all the native amercians;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17887830430267239
74;;tonyhoyos;06.10.18 16:16:26;5;I've never ever seen a movie that mocks or make fun of Democrats, not one,biased in Hollywood??? Naaaaa;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17925746206205871
75;;deniselovesny;06.10.18 16:17:07;0;??????;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17987383888006225
76;;deniselovesny;06.10.18 16:18:10;1;Brilliant job with The Big Short!;https://www.instagram.com/p/BoeMOIRnR0f/?comment_id=17965930591088537
